StockID,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,AdjClosePrice,Volume
17,2013-10-30,22768.31583984375,22998.298828125,22752.983640625,22998.298828125,22998.298828125,10588400
17,2013-10-31,22967.640441019626,23028.969253946245,22461.677734375,22461.677734375,22461.677734375,12647050
17,2013-11-01,22844.9768359375,22998.298828125,22507.668453125,22998.298828125,22998.298828125,11357700
17,2013-11-04,22875.649177576717,23028.971223002834,22829.652563948883,22982.974609375,22982.974609375,10887800
17,2013-11-05,23028.963799452864,23028.963799452864,22568.99781144781,22768.31640625,22768.31640625,8009300
17,2013-11-06,22967.63082841575,22967.63082841575,22216.35318449561,22247.017578125,22247.017578125,12218400
17,2013-11-07,22247.023862919712,22293.020466357866,21848.38663312239,22032.373046875,22032.373046875,13006800
17,2013-11-08,21633.73649850399,21894.38392619681,21572.40769198803,21618.404296875,21618.404296875,13681350
17,2013-11-11,21848.39010799632,21986.379940257353,21603.07485064338,21894.38671875,21894.38671875,8563850
17,2013-11-12,22078.3645260989,22477.001663375686,22017.035735748625,22323.6796875,22323.6796875,9784900
17,2013-11-13,22155.031781294045,22216.360588993128,21756.39453125,21756.39453125,21756.39453125,9995200
17,2013-11-14,22308.35492423411,22308.35492423411,21833.056640625,21833.056640625,21833.056640625,10132150
17,2013-11-15,21986.372277381157,22415.673828125,21955.707880899452,22415.673828125,22415.673828125,8339250
17,2013-11-18,22538.33525907395,22630.328464213024,22461.674254791382,22599.6640625,22599.6640625,6386800
17,2013-11-19,22737.65133636249,22829.64453125,22645.658141474985,22829.64453125,22829.64453125,8183550
17,2013-11-20,22584.33058434311,22798.9813841943,22446.340784438773,22538.333984375,22538.333984375,8178150
17,2013-11-21,22568.997569444444,22568.997569444444,21955.70959201389,22078.3671875,22078.3671875,9019800
17,2013-11-22,22093.70547952586,22323.688534482757,21940.38344288793,22231.6953125,22231.6953125,8574600
17,2013-11-25,22247.026889131826,22569.003156996587,22247.026889131826,22461.677734375,22461.677734375,6615300
17,2013-11-26,22354.344162018257,22676.3203125,22308.347569092293,22676.3203125,22676.3203125,8586250
17,2013-11-27,22492.337384406885,22630.327184311223,22385.01198448129,22538.333984375,22538.333984375,9351700
17,2013-11-28,22691.657776941098,22906.30859375,22676.325575740462,22906.30859375,22906.30859375,10644900
17,2013-11-29,22982.96959975318,22982.96959975318,22768.31878294428,22906.30859375,22906.30859375,6752200
17,2013-12-02,22998.296507540897,23044.29310055598,22492.333984375,22492.333984375,22492.333984375,7487800
17,2013-12-03,22446.340349075974,22660.99114476386,22339.01495123203,22400.34375,22400.34375,7798600
17,2013-12-04,22231.68856658083,22277.685163615133,21940.37678536356,21955.708984375,21955.708984375,10844000
17,2013-12-05,21971.041791449654,22170.360384114585,21802.38759765625,22078.3671875,22078.3671875,10479650
17,2013-12-06,22293.024011948528,22293.024011948528,21894.38671875,21894.38671875,21894.38671875,9147450
17,2013-12-09,22078.36678988996,22293.017578125,22078.36678988996,22293.017578125,22293.017578125,6996900
17,2013-12-10,22093.699386935765,22247.0213812934,21940.377392578124,22078.3671875,22078.3671875,7755600
17,2013-12-11,21863.717811949824,22139.697419674296,21710.39580765845,21771.724609375,21771.724609375,10629150
17,2013-12-12,21403.753474069148,21618.404296875,21403.753474069148,21618.404296875,21618.404296875,14962050
17,2013-12-13,21618.40180980216,21633.734009667267,21311.7578125,21311.7578125,21311.7578125,10053250
17,2013-12-16,21327.092218191963,21526.410837053572,21204.434606584822,21465.08203125,21465.08203125,8954400
17,2013-12-17,21725.728336413533,21725.728336413533,21357.755520553317,21388.419921875,21388.419921875,7762400
17,2013-12-18,21541.740909116255,21618.401908792828,21373.086709827803,21480.412109375,21480.412109375,10899200
17,2013-12-19,21741.055150118256,21986.370299908027,21741.055150118256,21879.044921875,21879.044921875,10552400
17,2013-12-20,21664.394165808953,21879.044921875,21664.394165808953,21879.044921875,21879.044921875,8407400
17,2013-12-23,22032.37176977931,22047.703970036637,21909.714167720693,21971.04296875,21971.04296875,10639200
17,2013-12-24,21925.049442358657,21955.713847173145,21695.06640625,21695.06640625,21695.06640625,10980350
17,2013-12-26,21587.736328125,21695.061721801758,21480.410934448242,21587.736328125,21587.736328125,12307800
17,2013-12-27,21832.3828544726,21847.866813943856,21600.123462403742,21615.607421875,21615.607421875,10510000
17,2013-12-30,21615.609198478498,21631.093159222393,21058.18661169825,21243.994140625,21243.994140625,16908100
17,2014-01-02,20872.378354182583,20980.76607560638,20160.116184826205,20268.50390625,20268.50390625,31025000
17,2014-01-03,20129.148732880014,20299.472299081306,19927.857245551215,20067.212890625,20067.212890625,26496600
17,2014-01-06,20175.601265122896,20438.828603194335,20067.213537681713,20237.537109375,20237.537109375,19735800
17,2014-01-07,20129.146196798312,20407.857451830907,20051.726403733705,20191.08203125,20191.08203125,19763200
17,2014-01-08,20129.148612993806,20191.08445487994,19927.857126863866,19989.79296875,19989.79296875,20474650
17,2014-01-09,20237.533541666668,20237.533541666668,19742.046875,19742.046875,19742.046875,21250950
17,2014-01-10,19742.04953751474,19912.373102152123,19695.59765625,19695.59765625,19695.59765625,18189150
17,2014-01-13,19865.920992700292,20082.696436112452,19711.081390263033,20051.728515625,20051.728515625,16449350
17,2014-01-14,20082.69223480341,20593.662815951066,19974.304535772088,20330.435546875,20330.435546875,14716650
17,2014-01-15,20593.66682303695,20609.150783054272,20098.18010248268,20113.6640625,20113.6640625,11747450
17,2014-01-16,20129.144948597233,20283.984525124903,20020.757245027864,20144.62890625,20144.62890625,9752450
17,2014-01-17,20144.631024151025,20361.406454080396,20005.275390625,20005.275390625,20005.275390625,12774250
17,2014-01-20,20206.569007943104,20423.34446090188,20067.213359612462,20376.892578125,20376.892578125,8682800
17,2014-01-21,20361.409967428248,20547.217510857252,20299.47411961858,20500.765625,20500.765625,7562300
17,2014-01-22,20345.921842644013,20562.697265625,20314.9539250753,20562.697265625,20562.697265625,10826500
17,2014-01-23,20376.89138279446,20469.795142898383,20113.6640625,20113.6640625,20113.6640625,10336950
17,2014-01-24,20129.149381933817,20407.860681068283,19989.793732366583,20237.537109375,20237.537109375,14001750
17,2014-01-27,20020.759349905667,20191.08290199303,19896.887675660313,20005.275390625,20005.275390625,13346300
17,2014-01-28,19711.07645198022,20020.75557926978,19711.07645198022,19865.916015625,19865.916015625,11701350
17,2014-01-29,19819.46484375,19943.336499023437,19773.01297302246,19819.46484375,19819.46484375,19181850
17,2014-02-03,19912.373102152123,19943.341022995282,19680.113695828422,19695.59765625,19695.59765625,16259200
17,2014-02-04,19556.240270341274,19556.240270341274,19339.46484375,19339.46484375,19339.46484375,16033000
17,2014-02-05,19277.527915319322,19432.367496968473,19107.204375505255,19153.65625,19153.65625,14926650
17,2014-02-06,19277.53312090449,19618.180292518864,19200.113309173947,19494.30859375,19494.30859375,15197450
17,2014-02-07,19742.046875,19803.982708333333,19556.239375,19742.046875,19742.046875,9943600
17,2014-02-10,19680.109927136356,19834.949501700765,19540.754310028387,19773.013671875,19773.013671875,7799650
17,2014-02-11,19834.953831164185,20361.408499594774,19695.59818363844,20299.47265625,20299.47265625,12684000
17,2014-02-12,20609.152174887622,20609.152174887622,20206.569187248948,20237.537109375,20237.537109375,10027400
17,2014-02-13,20129.147606895225,20438.82680084746,19974.308009919107,20098.1796875,20098.1796875,5838450
17,2014-02-14,20067.209117986164,20253.01660981937,20005.273287375097,20144.62890625,20144.62890625,6220750
17,2014-02-17,20005.28228356031,20222.057788180933,19819.474708171205,19896.89453125,19896.89453125,9386650
17,2014-02-18,19896.888913187744,20113.664356599904,19850.437032456564,20051.728515625,20051.728515625,5910650
17,2014-02-19,20129.146226986435,20129.146226986435,19819.467054263565,19974.306640625,19974.306640625,6179750
17,2014-02-20,19974.31280678946,20067.21658728616,19834.95713604442,19912.376953125,19912.376953125,9543300
17,2014-02-21,20640.119851386276,20640.119851386276,20129.149142387218,20593.66796875,20593.66796875,14346200
17,2014-02-24,20655.601018331137,20825.924564959056,20454.309554134506,20562.697265625,20562.697265625,7425050
17,2014-02-25,20624.631693918665,20748.503355744004,20531.72794754966,20655.599609375,20655.599609375,8785300
17,2014-02-26,20702.05091660069,20794.954660429863,20516.243428942344,20779.470703125,20779.470703125,12918050
17,2014-02-27,20671.090363709453,20779.47810344426,20593.67054961316,20763.994140625,20763.994140625,7891350
17,2014-02-28,20702.04994295543,20887.857421875,20624.630160072276,20887.857421875,20887.857421875,14232350
17,2014-03-03,20686.571615566038,20748.507458726417,20454.312203714624,20516.248046875,20516.248046875,12104150
17,2014-03-04,20438.828006178708,20578.18365167538,20361.408203125,20361.408203125,20361.408203125,7900150
17,2014-03-05,20671.087773143794,20763.99153841635,20593.66796875,20593.66796875,20593.66796875,7491500
17,2014-03-06,20578.18626272624,20578.18626272624,20283.990973793363,20531.734375,20531.734375,8616750
17,2014-03-07,20733.029296875,20733.029296875,20578.189645666076,20733.029296875,20733.029296875,7548650
17,2014-03-10,20438.830078125,20593.669699928978,20392.378191583808,20438.830078125,20438.830078125,8657600
17,2014-03-11,20438.834802855523,20547.222563173695,20268.511179498393,20469.802734375,20469.802734375,9079800
17,2014-03-12,20438.823113891034,20438.823113891034,20020.756277470537,20036.240234375,20036.240234375,12579250
17,2014-03-13,20036.242475169573,20330.437689256298,19974.306640625,19974.306640625,19974.306640625,11750200
17,2014-03-14,19664.627083333333,19896.886458333334,19664.627083333333,19742.046875,19742.046875,10836800
17,2014-03-17,19742.048999370556,19757.532959370063,19478.821679378947,19602.693359375,19602.693359375,8820000
17,2014-03-18,19664.63220730634,19865.923718089787,19602.696357834506,19788.50390625,19788.50390625,11045600
17,2014-03-19,19819.464144996058,19896.88392681245,19633.65666863672,19649.140625,19649.140625,7638550
17,2014-03-20,19664.61966682349,19695.587571810618,19540.748046875,19540.748046875,19540.748046875,5939400
17,2014-03-21,19649.144241273076,19711.080078125,19540.756526782206,19711.080078125,19711.080078125,8321300
17,2014-03-24,19509.788608356244,19726.56403733798,19494.304649143265,19711.080078125,19711.080078125,7073900
17,2014-03-25,19649.147153167603,19664.631114675223,19215.596230954292,19308.5,19308.5,13625000
17,2014-03-26,19649.15109739786,19974.31435432879,19323.987840466925,19896.89453125,19896.89453125,17444700
17,2014-03-27,19974.3107358871,20640.12109375,19896.89092683327,20640.12109375,20640.12109375,20877850
17,2014-03-28,20438.828476123595,20717.53977352528,20438.828476123595,20671.087890625,20671.087890625,10648700
17,2014-03-31,20825.928861457556,20825.928861457556,20469.797735945645,20794.9609375,20794.9609375,13259850
17,2014-04-01,20825.933087600355,20825.933087600355,20609.157575907862,20733.029296875,20733.029296875,11081000
17,2014-04-02,20903.34276552137,21011.73046875,20794.95506229274,21011.73046875,21011.73046875,13100050
17,2014-04-03,20918.83061909847,21600.124880564297,20918.83061909847,21522.705078125,21522.705078125,19098800
17,2014-04-04,21321.415302309782,21631.094536911234,21321.415302309782,21367.8671875,21367.8671875,18400350
17,2014-04-07,21631.087890625,21631.087890625,21274.9568802568,21631.087890625,21631.087890625,10761750
17,2014-04-08,21476.256789701398,21662.06434664186,21290.44923276094,21584.64453125,21584.64453125,10608200
17,2014-04-09,21584.64085578501,21600.12481622675,21120.12204253282,21228.509765625,21228.509765625,16061600
17,2014-04-10,21197.543608469205,21367.8671875,21058.187952898552,21367.8671875,21367.8671875,9999200
17,2014-04-11,21089.161383928575,21182.06517857143,21042.709486607146,21135.61328125,21135.61328125,10659350
17,2014-04-14,21135.607535926094,21460.770728786494,21135.607535926094,21213.02734375,21213.02734375,10586000
17,2014-04-15,21460.770728786494,21476.254690351278,21197.543382185217,21213.02734375,21213.02734375,10969800
17,2014-04-16,21213.027570199276,21553.67472826087,21104.63983808877,21367.8671875,21367.8671875,9308550
17,2014-04-17,21305.931113138686,21367.86695939781,21151.091497490874,21213.02734375,21213.02734375,7241650
17,2014-04-18,21213.02674845791,21352.38239863026,21213.02674845791,21336.8984375,21336.8984375,9518350
17,2014-04-21,21352.38322576993,21460.770957880435,21290.44737884964,21367.8671875,21367.8671875,3299250
17,2014-04-22,21274.96135227273,21429.800954545455,21228.50947159091,21290.4453125,21290.4453125,6084300
17,2014-04-23,21584.640504072173,21600.124464261607,21398.832981798954,21507.220703125,21507.220703125,9500750
17,2014-04-24,21816.90151641347,21816.90151641347,21662.061903096128,21785.93359375,21785.93359375,10546200
17,2014-04-25,21987.221732040744,22111.09340377055,21646.574634783774,21662.05859375,21662.05859375,15269800
17,2014-04-28,21739.47771073487,21770.445627701727,21398.830624099424,21491.734375,21491.734375,9431450
17,2014-04-29,21507.220385742185,21600.124145507812,20918.82990722656,21058.185546875,21058.185546875,10909200
17,2014-04-30,21367.86753071482,21383.351492693597,20531.733583860758,20794.9609375,20794.9609375,15047300
17,2014-05-02,20965.283800961184,21042.703608202544,20810.444186478457,20841.412109375,20841.412109375,14943350
17,2014-05-07,20903.34908621652,20996.252859933036,20748.509463355655,20810.4453125,20810.4453125,14189700
17,2014-05-08,20980.763541666667,20980.763541666667,20810.440000000002,20903.34375,20903.34375,16281900
17,2014-05-09,20996.251070926966,21027.218992860486,20531.732241924157,20671.087890625,20671.087890625,13157050
17,2014-05-12,20686.56853386167,21600.122084384006,20624.63269992795,21491.734375,21491.734375,15944800
17,2014-05-13,21491.733521205355,22064.63996233259,21491.733521205355,21677.541015625,21677.541015625,12107400
17,2014-05-14,21816.89897719744,21909.802734375,21693.02730096069,21909.802734375,21909.802734375,11103750
17,2014-05-15,21894.3245262633,21971.74434424867,21724.00092669548,21832.388671875,21832.388671875,6806700
17,2014-05-16,21677.548636642157,22250.455279181984,21662.064673330267,22111.099609375,22111.099609375,15856500
17,2014-05-19,22111.096172522444,22451.743312435257,21801.41695441989,22420.775390625,22420.775390625,19281050
